indicator,País__ESTANDAR,Años__ESTANDAR,value,unit,notes_ids,source_id
Variación de temperatura media,El Caribe,1997,0.883,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1998,1.144,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1999,0.783,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2000,0.485,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2001,0.511,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2002,0.843,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2003,1.017,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2004,0.71,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2005,0.765,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2006,0.85,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2007,0.922,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2008,0.564,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2009,0.79,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2010,0.898,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2011,0.668,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2012,0.747,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2013,1.01,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2014,1.161,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2015,1.362,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2016,1.331,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2017,1.3,Grados celsius,8576.0,651.0
Variación de temperatura media,América Central,2018,1.093,Grados celsius,,651.0
Variación de temperatura media,América del Sur,2018,0.979,Grados celsius,,651.0
Variación de temperatura media,El Caribe,2018,1.163,Grados celsius,8576.0,651.0
Variación de temperatura media,América Central,2019,1.273,Grados celsius,,651.0
Variación de temperatura media,América del Sur,2019,1.248,Grados celsius,,651.0
Variación de temperatura media,El Caribe,2019,1.535,Grados celsius,8576.0,651.0
Variación de temperatura media,América Central,2020,1.624,Grados celsius,,651.0
Variación de temperatura media,América del Sur,2020,1.323,Grados celsius,,651.0
Variación de temperatura media,El Caribe,2020,1.668,Grados celsius,8576.0,651.0
Variación de temperatura media,América Central,2021,1.092,Grados celsius,,651.0
Variación de temperatura media,América del Sur,2021,0.996,Grados celsius,,651.0
Variación de temperatura media,El Caribe,2021,1.078,Grados celsius,8576.0,651.0
Variación de temperatura media,América Central,2022,1.091,Grados celsius,,
Variación de temperatura media,América del Sur,2022,0.797,Grados celsius,,
Variación de temperatura media,El Caribe,2022,1.145,Grados celsius,,
